err,data
5.9190027698301776e-5,0.00019024248750512107
1.5700841497876072e-5,7.391276663994371e-5
6.641924932554962e-6,4.261252890607883e-5
3.825516391363143e-6,2.22965965139283e-5
2.562941253423615e-6,2.176880112868429e-5
2.812147665103615e-5,8.240734039668606e-5
1.0528663640406026e-5,8.421314587773898e-5
5.191310963786679e-6,2.6585137640401017e-5
2.9144764792293775e-6,2.6033426315289483e-5
1.927193669269222e-6,1.6202481595102046e-5
1.3716506591748958e-6,1.3310988829992239e-5
1.0370491890120577e-6,1.0699346577168782e-5
8.301593237601557e-7,7.686133839717875e-6
1.536089010716146e-5,7.178033503523848e-5
7.415154091615777e-6,3.281044713467789e-5
3.7760723672565146e-6,2.892679459938269e-5
2.4023948827976593e-6,1.966699071385577e-5
1.5301222830401722e-6,1.2097203503298844e-5
1.1051484237847127e-6,8.650066204853462e-6
8.517641895026228e-7,8.147366954956386e-6
6.57412765972123e-7,5.583100817047434e-6
5.166340111696013e-7,6.8691457802514295e-6
3.905576710817022e-7,4.6606171863288675e-6
1.2937485582707465e-5,3.7994144117651626e-5
7.387696715219674e-6,5.5021601181051325e-5
3.99052045674199e-6,2.7401971986859923e-5
2.6345772000335277e-6,1.5235064677812242e-5
1.87278514908751e-6,1.4976571710274611e-5
1.3190294425099762e-6,1.0228074477527087e-5
1.0223792845731412e-6,9.597006766384104e-6
8.453294024774794e-7,7.742413500198074e-6
6.610250919668277e-7,5.84493608578815e-6
4.982616771694491e-7,5.680432872958117e-6
3.921067016886655e-7,4.097917823554746e-6
1.2261561864797501e-5,2.3448960721994197e-5
7.371723962231951e-6,2.9187846323293534e-5
4.525227174841574e-6,2.571469730442923e-5
3.141714127392363e-6,1.720793463317388e-5
2.464136380475139e-6,1.876041365219758e-5
1.962134895702403e-6,1.1858834397319835e-5
1.584173177666042e-6,6.023987322753388e-6
1.3565884770589428e-6,3.4894299563905405e-6
1.15993017372239e-6,7.420152296134288e-6
9.355380485279386e-7,4.729410691534381e-6
7.605939546170442e-7,4.317808418665961e-6
6.395998540453827e-7,4.736098712055406e-6
5.305972516567527e-7,2.545509196409628e-6
3.372699613810705e-7,5.13895811016124e-7
1.0121769112646214e-7,1.4589584585942392e-7
5.073674373346686e-8,1.365821511068042e-7
3.323165683818644e-8,4.394009230098515e-8
2.4696817206556456e-8,5.502563539260177e-8
4.2160216831206043e-7,6.148430271710356e-7
1.2738251906263385e-7,4.1979653600526015e-7
6.208458212101256e-8,2.3672830150224997e-7
3.970952773849985e-8,8.802368525540925e-8
2.9059398705858393e-8,1.2026663277983564e-7
5.084449966633447e-7,1.0775067173946513e-6
1.544820930370537e-7,7.022179999339149e-7
7.173142253404405e-8,3.334426087912497e-7
4.37220529722406e-8,1.7605923897100638e-7
3.0779366288041936e-8,1.6824516159616972e-7
6.159959098595187e-7,1.1183657220794273e-6
1.9640356794043295e-7,5.372280765684836e-7
9.492758732691162e-8,3.647883110395705e-7
5.953716936229969e-8,2.3692516736305024e-7
4.269528759353588e-8,1.8712045825219402e-7
2.2879532691156883e-7,2.159048816830077e-7
7.938824492308145e-8,1.7452514116294237e-7
4.357644392420644e-8,4.2186256491633983e-8
