err,data
1.2127211736834e-9,2.4659965589802277e-9
7.211306691452859e-10,1.937338987992683e-9
5.500134086038125e-10,6.992765360481148e-10
4.5985621358085487e-10,-4.9611713239579213e-11
4.028183475622725e-10,7.913395793306234e-10
3.6277618255565025e-10,2.025477514463439e-10
3.325636320754118e-10,2.937251108461027e-10
2.963272513067955e-10,2.5800941836058233e-10
2.527070768695259e-10,3.588061352802992e-10
2.1828510006814727e-10,6.231168353367879e-10
1.9060576819379556e-10,3.1345938512155163e-10
1.642865135114863e-10,3.582798723991507e-10
1.4316282466885026e-10,-4.0487781727468034e-11
1.248809294832223e-10,1.3333032783268838e-10
1.0834061509281227e-10,-6.723971614657484e-11
9.492909559617093e-11,-5.212204902985596e-12
8.249807963351732e-11,8.863988267954272e-11
7.239419995698207e-11,7.432765061921786e-11
6.32503016271987e-11,7.907581936837801e-11
5.5350043920378626e-11,3.94279146552411e-11
4.8550619366022004e-11,1.084628377313183e-10
4.258819980197729e-11,3.2794577245188066e-11
3.740323440629853e-11,7.521746576911569e-11
3.2915159440309854e-11,5.604490995907472e-11
1.1350838494435607e-9,3.1373571630263054e-9
6.335700706086693e-10,1.3372875500582745e-9
4.665459185201089e-10,1.4409543762548946e-9
3.827082812461689e-10,5.88800219120922e-10
3.3145520408307314e-10,7.593690706582527e-10
2.9632531795873847e-10,6.223618078534689e-10
2.7029833850987273e-10,5.010395808554591e-10
2.3996294973673853e-10,5.67955678923732e-10
2.0401794164308958e-10,4.679139619357448e-10
1.7577672865393085e-10,3.388222299317518e-10
1.531577061442162e-10,2.7553304876843655e-10
1.3176012964942447e-10,5.038968565795393e-10
1.1463215091427523e-10,8.680557700905665e-11
9.984839081945023e-11,8.785840670696964e-11
8.650598917684665e-11,1.7685580139625176e-11
7.570208830542121e-11,3.189161934627242e-11
6.570534667909865e-11,6.578221875290565e-11
5.7586513196389895e-11,1.5241371826081933e-10
5.024697378141874e-11,1.2885925828707707e-10
4.390888872504049e-11,1.0798380965513884e-10
3.845643936271733e-11,3.8933502300527797e-11
3.367562288861647e-11,3.7317920083258186e-11
2.95181191255522e-11,2.0082004188593878e-11
2.591916725200866e-11,1.6555936845572607e-11
1.3548768521174786e-9,4.487375338838755e-9
7.212058742967391e-10,1.9486310268487102e-9
5.06231494029817e-10,1.0610956676836918e-9
4.0000881830438233e-10,6.873582938464316e-10
3.3738310989532756e-10,1.4879780518450597e-9
2.9584171618892435e-10,2.0607385928398196e-10
2.659286971086214e-10,7.84131393880074e-10
2.333869685596542e-10,1.169537443933397e-10
1.9649151417719816e-10,3.8406508130695943e-10
1.67843113843707e-10,5.810427037396521e-10
1.4516086580943086e-10,1.0642029053233739e-10
1.2407341784298066e-10,6.379930725410364e-10
1.0733986467305338e-10,1.7688146257736327e-10
9.304235284391273e-11,2.395694791851655e-10
8.026225897566589e-11,1.4103701195551037e-10
6.99699136024227e-11,1.6023609863076517e-10
6.052201992042171e-11,2.1664825960234155e-10
5.287991433456702e-11,7.942134890485412e-11
4.6010452908134085e-11,1.584624489342704e-10
4.0103873723749654e-11,7.712164750525474e-11
3.504077181923929e-11,2.5007526363727926e-11
3.061805562363404e-11,2.6006168809923325e-11
